2024-06-05 14:04:55,999 INFO    StreamThr :284338 [internal.py:wandb_internal():88] W&B internal server running at pid: 284338, started at: 2024-06-05 14:04:55.999515
2024-06-05 14:04:56,001 DEBUG   HandlerThread:284338 [handler.py:handle_request():139] handle_request: status
2024-06-05 14:04:56,001 DEBUG   SenderThread:284338 [sender.py:send_request():317] send_request: status
2024-06-05 14:04:56,002 INFO    WriterThread:284338 [datastore.py:open_for_write():75] open: /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/offline-run-20240605_140455-28u41u28/run-28u41u28.wandb
2024-06-05 14:04:56,010 DEBUG   HandlerThread:284338 [handler.py:handle_request():139] handle_request: run_start
2024-06-05 14:04:56,012 DEBUG   HandlerThread:284338 [system_info.py:__init__():31] System info init
2024-06-05 14:04:56,012 DEBUG   HandlerThread:284338 [system_info.py:__init__():46] System info init done
2024-06-05 14:04:56,012 INFO    HandlerThread:284338 [system_monitor.py:start():150] Starting system monitor
2024-06-05 14:04:56,012 INFO    SystemMonitor:284338 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-06-05 14:04:56,012 INFO    HandlerThread:284338 [system_monitor.py:probe():168] Collecting system info
2024-06-05 14:04:56,012 INFO    SystemMonitor:284338 [interfaces.py:start():168] Started cpu
2024-06-05 14:04:56,012 INFO    SystemMonitor:284338 [interfaces.py:start():168] Started disk
2024-06-05 14:04:56,013 INFO    SystemMonitor:284338 [interfaces.py:start():168] Started gpu
2024-06-05 14:04:56,013 INFO    SystemMonitor:284338 [interfaces.py:start():168] Started memory
2024-06-05 14:04:56,014 INFO    SystemMonitor:284338 [interfaces.py:start():168] Started network
2024-06-05 14:04:56,036 DEBUG   HandlerThread:284338 [system_info.py:probe():195] Probing system
2024-06-05 14:04:56,037 DEBUG   HandlerThread:284338 [system_info.py:_probe_git():180] Probing git
2024-06-05 14:04:56,040 DEBUG   HandlerThread:284338 [system_info.py:_probe_git():188] Probing git done
2024-06-05 14:04:56,040 DEBUG   HandlerThread:284338 [system_info.py:probe():241] Probing system done
