2024-06-10 12:05:50,073 INFO    StreamThr :367971 [internal.py:wandb_internal():88] W&B internal server running at pid: 367971, started at: 2024-06-10 12:05:50.072644
2024-06-10 12:05:50,074 DEBUG   HandlerThread:367971 [handler.py:handle_request():139] handle_request: status
2024-06-10 12:05:50,074 DEBUG   SenderThread:367971 [sender.py:send_request():317] send_request: status
2024-06-10 12:05:50,077 INFO    WriterThread:367971 [datastore.py:open_for_write():75] open: /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/offline-run-20240610_120550-2v4ltdc7/run-2v4ltdc7.wandb
2024-06-10 12:05:50,083 DEBUG   HandlerThread:367971 [handler.py:handle_request():139] handle_request: run_start
2024-06-10 12:05:50,084 DEBUG   HandlerThread:367971 [system_info.py:__init__():31] System info init
2024-06-10 12:05:50,084 DEBUG   HandlerThread:367971 [system_info.py:__init__():46] System info init done
2024-06-10 12:05:50,084 INFO    HandlerThread:367971 [system_monitor.py:start():150] Starting system monitor
2024-06-10 12:05:50,084 INFO    SystemMonitor:367971 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-06-10 12:05:50,084 INFO    HandlerThread:367971 [system_monitor.py:probe():168] Collecting system info
2024-06-10 12:05:50,084 INFO    SystemMonitor:367971 [interfaces.py:start():168] Started cpu
2024-06-10 12:05:50,084 INFO    SystemMonitor:367971 [interfaces.py:start():168] Started disk
2024-06-10 12:05:50,084 INFO    SystemMonitor:367971 [interfaces.py:start():168] Started gpu
2024-06-10 12:05:50,085 INFO    SystemMonitor:367971 [interfaces.py:start():168] Started memory
2024-06-10 12:05:50,085 INFO    SystemMonitor:367971 [interfaces.py:start():168] Started network
2024-06-10 12:05:50,107 DEBUG   HandlerThread:367971 [system_info.py:probe():195] Probing system
2024-06-10 12:05:50,107 DEBUG   HandlerThread:367971 [system_info.py:_probe_git():180] Probing git
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_info.py:_probe_git():188] Probing git done
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_info.py:probe():241] Probing system done
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_monitor.py:probe():177] {'os': 'Linux-5.15.0-107-generic-x86_64-with-glibc2.31', 'python': '3.10.13', 'heartbeatAt': '2024-06-10T10:05:50.107642', 'startedAt': '2024-06-10T10:05:50.066860', 'docker': None, 'cuda': None, 'args': None, 'state': 'running', 'program': '/home/tbertrand/Bureau/dynamic-off-the-grid/unraveled_frank_wolfe_3_spikes.py', 'codePath': 'unraveled_frank_wolfe_3_spikes.py', 'git': {'remote': 'https://gitlab.inria.fr/blaville/dynamic-off-the-grid.git', 'commit': '6d00ccd3ccc89bdd18e75630ce6e44cff5ffccb4'}, 'email': 'tbertrand@ceremade.dauphine.fr', 'root': '/home/tbertrand/Bureau/dynamic-off-the-grid', 'host': 'P7550BERTRAND', 'username': 'tbertrand', 'executable': '/home/tbertrand/anaconda3/envs/fmicnn-condav2/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2.743687499999999, 'min': 800.0, 'max': 5300.0}, 'cpu_freq_per_core': [{'current': 4.332, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 4.325, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}, {'current': 2.4, 'min': 800.0, 'max': 5300.0}], 'disk': {'total': 1831.3967514038086, 'used': 681.8460006713867}, 'gpu': 'Quadro T2000', 'gpu_count': 1, 'gpu_devices': [{'name': 'Quadro T2000', 'memory_total': 4066574336}], 'memory': {'total': 31.04769515991211}}
2024-06-10 12:05:50,111 INFO    HandlerThread:367971 [system_monitor.py:probe():178] Finished collecting system info
2024-06-10 12:05:50,111 INFO    HandlerThread:367971 [system_monitor.py:probe():181] Publishing system info
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_info.py:_save_pip():67] Saving pip packages done
2024-06-10 12:05:50,111 DEBUG   HandlerThread:367971 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2024-06-10 12:05:56,812 DEBUG   HandlerThread:367971 [system_info.py:_save_conda():86] Saving conda packages done
2024-06-10 12:05:56,812 INFO    HandlerThread:367971 [system_monitor.py:probe():183] Finished publishing system info
2024-06-10 12:06:04,813 DEBUG   HandlerThread:367971 [handler.py:handle_request():139] handle_request: pause
2024-06-10 12:06:04,814 INFO    HandlerThread:367971 [handler.py:handle_request_pause():696] stopping system metrics thread or process
2024-06-10 12:06:04,814 INFO    HandlerThread:367971 [system_monitor.py:finish():160] Stopping system monitor
2024-06-10 12:06:04,814 DEBUG   SystemMonitor:367971 [system_monitor.py:_start():130] Starting system metrics aggregation loop
2024-06-10 12:06:04,814 INFO    HandlerThread:367971 [interfaces.py:finish():173] Joined cpu
2024-06-10 12:06:04,814 INFO    HandlerThread:367971 [interfaces.py:finish():173] Joined disk
2024-06-10 12:06:04,814 DEBUG   SystemMonitor:367971 [system_monitor.py:_start():137] Finished system metrics aggregation loop
2024-06-10 12:06:04,815 DEBUG   SystemMonitor:367971 [system_monitor.py:_start():141] Publishing last batch of metrics
2024-06-10 12:06:04,851 INFO    HandlerThread:367971 [interfaces.py:finish():173] Joined gpu
2024-06-10 12:06:04,851 INFO    HandlerThread:367971 [interfaces.py:finish():173] Joined memory
