2024-06-10 15:25:17,320 INFO    MainThread:576909 [wandb_setup.py:_flush():68] Configure stats pid to 576909
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_setup.py:_flush():68] Loading settings from /home/tbertrand/.config/wandb/settings
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_setup.py:_flush():68] Loading settings from /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/settings
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'unraveled_frank_wolfe_3_spikes.py', 'program': '/home/tbertrand/Bureau/dynamic-off-the-grid/unraveled_frank_wolfe_3_spikes.py'}
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:_log_setup():476] Logging user logs to /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/offline-run-20240610_152517-2e4oanuw/logs/debug.log
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:_log_setup():477] Logging internal logs to /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/offline-run-20240610_152517-2e4oanuw/logs/debug-internal.log
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f12fe46bfd0>
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:init():516] calling init triggers
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'epochs': 500, 'regularization': 0.1, 'n': 16, 'nc': 16, 'geometry': 'euclidean', 'method': 'exponential_RS', 'lr': 0.01, 'nb_pics': 2, 'epsilon': 0.5, 'xi': 1.0, 'n_start': 64}
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:init():569] starting backend
2024-06-10 15:25:17,321 INFO    MainThread:576909 [wandb_init.py:init():573] setting up manager
2024-06-10 15:25:17,323 INFO    MainThread:576909 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-10 15:25:17,323 INFO    MainThread:576909 [wandb_init.py:init():580] backend started and connected
2024-06-10 15:25:17,330 INFO    MainThread:576909 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2024-06-10 15:25:17,330 INFO    MainThread:576909 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-06-10 15:25:17,330 INFO    MainThread:576909 [wandb_init.py:init():658] updated telemetry
2024-06-10 15:25:17,335 INFO    MainThread:576909 [wandb_init.py:init():728] starting run threads in backend
2024-06-10 15:25:22,340 INFO    MainThread:576909 [wandb_run.py:_console_start():1980] atexit reg
2024-06-10 15:25:22,340 INFO    MainThread:576909 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2024-06-10 15:25:22,340 INFO    MainThread:576909 [wandb_run.py:_redirect():1903] Wrapping output streams.
2024-06-10 15:25:22,340 INFO    MainThread:576909 [wandb_run.py:_redirect():1925] Redirects installed.
2024-06-10 15:25:22,341 INFO    MainThread:576909 [wandb_init.py:init():765] run started, returning control to user process
2024-06-10 15:27:44,453 INFO    MainThread:576909 [wandb_run.py:_finish():1746] finishing run 2e4oanuw
2024-06-10 15:27:44,453 INFO    MainThread:576909 [jupyter.py:save_history():448] not saving jupyter history
2024-06-10 15:27:44,453 INFO    MainThread:576909 [jupyter.py:save_ipynb():378] not saving jupyter notebook
2024-06-10 15:27:44,453 INFO    MainThread:576909 [wandb_init.py:_jupyter_teardown():408] cleaning up jupyter logic
2024-06-10 15:27:44,453 INFO    MainThread:576909 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2024-06-10 15:27:44,453 INFO    MainThread:576909 [wandb_run.py:_restore():1932] restore
2024-06-10 15:27:44,453 INFO    MainThread:576909 [wandb_run.py:_restore():1938] restore done
2024-06-10 15:27:45,543 INFO    MainThread:576909 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2024-06-10 15:27:45,543 INFO    MainThread:576909 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
