2023-11-30 22:52:23,622 INFO    MainThread:109692 [wandb_setup.py:_flush():68] Configure stats pid to 109692
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_setup.py:_flush():68] Loading settings from /home/tbertrand/.config/wandb/settings
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_setup.py:_flush():68] Loading settings from /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/settings
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'tbertrand', 'project': 'dynamic-off-the-grid', 'sweep_id': 'fiwfk8e1', 'root_dir': '/home/tbertrand/Bureau/dynamic-off-the-grid', 'run_id': 'yc2drl23', 'sweep_param_path': '/home/tbertrand/Bureau/dynamic-off-the-grid/wandb/sweep-fiwfk8e1/config-yc2drl23.yaml'}
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'unraveled_frank_wolfe_3_spikes.py', 'program': '/home/tbertrand/Bureau/dynamic-off-the-grid/unraveled_frank_wolfe_3_spikes.py'}
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:_log_setup():476] Logging user logs to /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/run-20231130_225223-yc2drl23/logs/debug.log
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:_log_setup():477] Logging internal logs to /home/tbertrand/Bureau/dynamic-off-the-grid/wandb/run-20231130_225223-yc2drl23/logs/debug-internal.log
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:init():516] calling init triggers
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:init():519] wandb.init called with sweep_config: {'epochs': 100, 'geometry': 'euclidean', 'lr': 0.0005, 'method': 'polygonal', 'nc': 4, 'regularization': 0.01}
config: {'epochs': 100, 'regularization': 0.01, 'n': 32, 'nc': 4, 'geometry': 'euclidean', 'method': 'polygonal', 'lr': 0.0005}
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:init():569] starting backend
2023-11-30 22:52:23,623 INFO    MainThread:109692 [wandb_init.py:init():573] setting up manager
2023-11-30 22:52:23,625 INFO    MainThread:109692 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-30 22:52:23,628 INFO    MainThread:109692 [wandb_init.py:init():580] backend started and connected
2023-11-30 22:52:23,631 INFO    MainThread:109692 [wandb_run.py:_config_callback():1160] config_cb None None {'epochs': 100, 'geometry': 'euclidean', 'lr': 0.0005, 'method': 'polygonal', 'nc': 4, 'regularization': 0.01}
2023-11-30 22:52:23,632 INFO    MainThread:109692 [wandb_init.py:init():658] updated telemetry
2023-11-30 22:52:23,634 INFO    MainThread:109692 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-11-30 22:52:26,715 INFO    MainThread:109692 [wandb_run.py:_on_init():2000] communicating current version
2023-11-30 22:52:28,677 INFO    MainThread:109692 [wandb_run.py:_on_init():2004] got version response upgrade_message: "wandb version 0.16.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-11-30 22:52:28,677 INFO    MainThread:109692 [wandb_init.py:init():728] starting run threads in backend
2023-11-30 22:52:33,686 INFO    MainThread:109692 [wandb_run.py:_console_start():1980] atexit reg
2023-11-30 22:52:33,686 INFO    MainThread:109692 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2023-11-30 22:52:33,686 INFO    MainThread:109692 [wandb_run.py:_redirect():1903] Wrapping output streams.
2023-11-30 22:52:33,686 INFO    MainThread:109692 [wandb_run.py:_redirect():1925] Redirects installed.
2023-11-30 22:52:33,686 INFO    MainThread:109692 [wandb_init.py:init():765] run started, returning control to user process
2023-11-30 22:52:41,818 INFO    MainThread:109692 [wandb_run.py:_finish():1746] finishing run tbertrand/dynamic-off-the-grid/yc2drl23
2023-11-30 22:52:41,818 INFO    MainThread:109692 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2023-11-30 22:52:41,818 INFO    MainThread:109692 [wandb_run.py:_restore():1932] restore
2023-11-30 22:52:41,818 INFO    MainThread:109692 [wandb_run.py:_restore():1938] restore done
2023-11-30 22:52:45,535 INFO    MainThread:109692 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2023-11-30 22:52:45,535 INFO    MainThread:109692 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2023-11-30 22:52:45,539 INFO    MainThread:109692 [wandb_run.py:_footer_sync_info():3333] logging synced files
